SalesRepID,SalesRepName,Region,Team,Title,HireDate
REP_001,Bruce Rodriguez,South,Beta,Lead Rep,2022-12-25
REP_002,Patricia Pugh,South,Alpha,Lead Rep,2023-08-05
REP_003,Kevin Fuentes,Central,Alpha,Senior Rep,2024-03-23
REP_004,Evelyn Price,North,Delta,Lead Rep,2023-11-11
REP_005,Joseph Chavez,North,Gamma,Junior Rep,2023-07-12
REP_006,Tyler Graves,South,Delta,Junior Rep,2022-07-19
REP_007,Mark Melendez,East,Gamma,Senior Rep,2023-08-17
REP_008,Diane Mills,South,Delta,Junior Rep,2024-08-29
REP_009,Vanessa Moore,Central,Delta,Lead Rep,2021-06-13
REP_010,Sarah Martin,West,Beta,Manager,2024-09-09
REP_011,James Boyd DVM,Central,Alpha,Lead Rep,2024-07-07
REP_012,Stephen Sutton,East,Gamma,Junior Rep,2022-11-26
REP_013,Mark Joseph,East,Alpha,Manager,2024-05-27
REP_014,Eric Drake,East,Beta,Lead Rep,2021-11-27
REP_015,Jason Hodge,South,Delta,Lead Rep,2022-11-25
REP_016,Steven Mcknight,East,Gamma,Manager,2024-03-13
REP_017,Glenn Gordon,North,Delta,Manager,2022-08-22
REP_018,Nicholas Hill,West,Delta,Senior Rep,2022-03-29
REP_019,Vickie Morris,West,Gamma,Manager,2024-05-02
REP_020,Wesley Shannon,North,Alpha,Senior Rep,2022-05-30
REP_021,Monica Morgan,Central,Delta,Junior Rep,2023-03-06
REP_022,Mary Contreras,West,Delta,Junior Rep,2023-12-04
REP_023,Robert White,East,Gamma,Manager,2021-07-02
REP_024,Elizabeth Davis,East,Gamma,Junior Rep,2021-04-04
REP_025,Tammy Pearson,Central,Alpha,Senior Rep,2022-12-29
REP_026,Denise Hoffman,West,Beta,Lead Rep,2024-07-08
REP_027,Joe Logan,North,Delta,Manager,2021-06-13
REP_028,April Harvey,South,Beta,Junior Rep,2023-12-16
REP_029,Robert Taylor,North,Delta,Manager,2023-07-23
REP_030,Brian Wilkinson,North,Beta,Lead Rep,2024-03-22
REP_031,Dana Cook,North,Gamma,Manager,2023-11-21
REP_032,Natasha Henderson,West,Alpha,Lead Rep,2021-12-19
REP_033,Marie Jones,East,Beta,Lead Rep,2023-06-14
REP_034,Linda Scott,North,Alpha,Lead Rep,2023-12-11
REP_035,Mark Nguyen,South,Beta,Lead Rep,2023-06-12
REP_036,Kendra Norman,South,Delta,Manager,2022-02-12
REP_037,Ryan Tran,Central,Alpha,Lead Rep,2024-09-09
REP_038,Kathy Mcdonald,North,Alpha,Lead Rep,2021-09-20
REP_039,Tina Miller,Central,Beta,Lead Rep,2022-07-13
REP_040,Stephen Mclaughlin,North,Gamma,Manager,2021-06-08
